name,circonscription,coalition,image_url
Saliou DIENG,Dakar,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663436272_post.jpg
Modou Bara GAYE,Keur Massar,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663185115_post.jpg
Amy NDIAYE,Kaffrine,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1507696446_post.JPG
Abdoulaye Diouf SARR,Dakar,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663337159_post.jpg
Mouhamad DIENG,Koungheul,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1409822541_post.jpg
Yacine NDAO,Mbour,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1508943329_post.jpeg
Fatou GAYE,Tivaouane,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663445763_post.jpg
Khady DIÈYE,Guediawaye,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Ramata SAOU,Goudiry,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Kardiata DIOL,Bounkiling,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663413990_post.jpg
Astou NDIAYE,Kaolack,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1664718138_post.jpeg
Cheikh SECK,Diourbel,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1411218603_post.jpg
Gnima GOUDIABY,Bignona,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663430759_post.jpg
Bassirou GOUDIABY,Dakar,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663445862_post.jpg
Arame NDIAYE,Thies,yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663710344_post.jpg
Woraye SARR,Guediawaye,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1411216642_post.jpg
Aïcha TOURÉ,Amériques-Océanie,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663587389_post.jpg
Coura NDIAYE,Dakar,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Aminata GUÈYE,Saint-louis,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663446800_post.jpg
Maïmouna SENE,Thies,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1561803388_post.jpg
Abdoulaye DIOP,Pikine,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663359097_post.jpg
Coumba NDIAYE,Medina-Yoro-Foulah,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Aliou GUÈYE,Europe du Sud,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663446343_post.JPG
Karim SENE,Fatick,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663351684_post.jpg
Sanou DIONE,Dakar,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663436857_post.jpg
Guy Marius SAGNA,Ziguinchor,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663714418_post.jpg
Adama Boucounta THIOR,Foudiougne,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663723601_post.jpg
Assane DIOP,Tivaouane,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663437044_post.jpg
Mame Bousso GUÈYE,Europe du Sud,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663446699_post.jpg
Lémou TOURÉ NDIAYE,Thies,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Mame Fatou NDIAYE,Fatick,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Moussa SOUARÉ,Salemata,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705856_post.jpg
